,borough,year,all_ages,minor,18_24,25_34,35_44,45_54,55_64,65+,houses_sold,average_price
0,barking and dagenham,2002,166357,42803,15499,26662,25664,18257,13916,23556,3449,112221
1,barking and dagenham,2003,166210,42862,15831,26025,26267,18132,14149,22944,3615,142499
2,barking and dagenham,2004,165610,42872,16136,25631,26398,18211,14115,22247,3616,158176
3,barking and dagenham,2005,166275,43792,15848,25884,26588,18491,14051,21621,2890,163360
4,barking and dagenham,2006,167157,44717,15705,26016,26737,18894,14117,20971,3654,167853
5,barking and dagenham,2007,169031,46529,15503,26516,26851,19283,13999,20350,3985,184909
6,barking and dagenham,2008,172452,48309,15738,27647,26871,19958,13975,19954,1688,187356
7,barking and dagenham,2009,177580,50506,16268,28671,27349,20837,14266,19683,1262,156446
8,barking and dagenham,2010,182838,52318,17076,29825,27999,21747,14370,19503,1453,166560
9,barking and dagenham,2011,187029,53814,17979,30412,28393,22489,14603,19339,1458,163465
10,barking and dagenham,2012,190560,55647,18013,30769,28773,23149,14692,19517,1342,165863
11,barking and dagenham,2013,194352,57605,17673,31351,29305,23856,15023,19539,1788,173733
12,barking and dagenham,2014,198294,59106,17836,31949,29867,24355,15525,19656,2259,201172
13,barking and dagenham,2015,201979,60374,17870,32511,30432,25024,16162,19606,2405,233460
14,barnet,2002,320552,72162,28698,56459,49927,38724,29377,45205,7315,220746
15,barnet,2003,321802,73122,28399,55841,50510,38708,30223,44999,6208,251212
16,barnet,2004,323723,73985,28343,55568,51057,38901,30956,44913,6691,271854
17,barnet,2005,327541,74944,28634,56119,51887,39362,31746,44849,5380,279459
18,barnet,2006,330801,76155,29046,56436,52091,39962,32573,44538,6752,291337
19,barnet,2007,334837,77424,29770,56579,52707,40664,33148,44545,6861,326915
20,barnet,2008,339212,78418,30162,57634,52860,41724,33365,45049,3438,330023
21,barnet,2009,345829,79788,30613,59237,53381,43155,33674,45981,3170,299103
22,barnet,2010,351438,81456,30801,60480,53634,44110,34095,46862,4143,333128
23,barnet,2011,357538,83214,31304,61747,53749,45270,34549,47705,3908,338978
24,barnet,2012,363956,85311,31140,62684,54493,46547,34487,49294,4055,358627
25,barnet,2013,369088,86623,30576,63380,55286,47702,35008,50513,4771,374770
26,barnet,2014,374915,87983,30389,63758,56482,48925,35650,51728,5058,430363
27,barnet,2015,379691,88822,30084,63696,57580,50096,36394,53019,5125,478688
28,bexley,2002,219123,51579,16705,29715,34697,27920,23671,34836,5738,136798
29,bexley,2003,220016,51670,17077,29144,35069,27770,24228,35058,5194,164482
30,bexley,2004,220917,52072,17276,28472,35447,27931,24417,35302,5066,179141
31,bexley,2005,222391,52556,17472,28171,35566,28564,24603,35459,4055,186512
32,bexley,2006,223280,52739,17775,27739,35382,29130,25052,35463,4998,191831
33,bexley,2007,224625,52966,18507,27529,35055,29844,25077,35647,5004,208085
34,bexley,2008,226652,53348,19191,27682,34587,30716,25068,36060,2487,210199
35,bexley,2009,228146,53334,19814,27711,33951,31841,25093,36402,2173,189050
36,bexley,2010,230711,53916,20440,28166,33286,32863,25209,36831,2470,200874
37,bexley,2011,232774,54201,21021,28652,32476,33734,25184,37506,2545,200672
38,bexley,2012,234271,54556,21273,29148,31584,34379,24811,38520,2874,202546
39,bexley,2013,236687,54907,21506,29905,31467,34776,24928,39198,3378,213470
40,bexley,2014,239865,55545,21320,31144,31575,35157,25301,39823,3944,244459
41,bexley,2015,242142,55978,20677,32276,31823,35383,25917,40088,3942,274209
42,brent,2002,269871,59538,28558,55050,43791,29714,22796,30424,4803,185898
43,brent,2003,268323,60437,27338,52881,44030,30415,22712,30510,4226,216501
44,brent,2004,268335,60862,27118,51781,43794,31371,22698,30711,4076,236023
45,brent,2005,270939,61680,27364,51982,43934,32109,22893,30977,3274,241690
46,brent,2006,276504,63008,28328,53712,43966,33224,23239,31027,3937,253253
47,brent,2007,283273,64436,29759,55439,44476,34139,23695,31329,4285,286995
48,brent,2008,290901,65790,30888,58191,44878,35524,24102,31528,2060,292757
49,brent,2009,298118,67496,30946,60450,45606,36908,24791,31921,1571,264402
50,brent,2010,304785,69010,31206,62570,45585,38241,25828,32345,2389,289562
51,brent,2011,312245,70453,31322,65335,46263,39072,26958,32842,2191,298964
52,brent,2012,314660,71668,30058,65036,46751,39689,27737,33721,2057,314112
53,brent,2013,317264,72548,29163,64562,47270,40275,28921,34525,2465,339655
54,brent,2014,320762,74016,28585,63474,48006,40792,30344,35545,2984,394687
55,brent,2015,324012,75014,28459,62432,48847,41172,31457,36631,3126,440951
56,bromley,2002,296668,65668,20365,41935,47708,38532,32483,49977,8058,186646
57,bromley,2003,297253,65963,20213,40862,48709,38037,33508,49961,6875,215993
58,bromley,2004,297307,66096,19965,40104,49038,37924,34103,50077,7533,234462
59,bromley,2005,299421,66760,20034,39613,49606,38479,34714,50215,6335,239786
60,bromley,2006,300963,67144,20295,39088,49782,39300,35363,49991,8367,249691
61,bromley,2007,302625,67596,20765,39132,49551,40170,35370,50041,7968,277230
62,bromley,2008,304968,67860,21395,39297,49362,41380,35291,50383,3729,277727
63,bromley,2009,306924,68139,21990,38990,48536,42818,35457,50994,3906,249909
64,bromley,2010,308560,68314,22381,38822,47765,44186,35498,51594,4379,271049
65,bromley,2011,310554,68658,22699,39017,46974,45319,35485,52402,4335,274874
66,bromley,2012,314036,69595,22817,39776,46717,46448,34542,54141,4845,282025
67,bromley,2013,317899,70449,22751,40502,46928,47416,34444,55409,5486,296669
68,bromley,2014,321278,71473,22294,41109,47295,48265,34501,56341,6169,347857
69,bromley,2015,324857,72201,22701,41478,47759,48829,35093,56796,6054,385681
70,camden,2002,203972,36714,24275,51598,32713,21140,16244,21288,3851,314179
71,camden,2003,204254,36635,24403,50990,33013,21162,16725,21326,3150,323053
72,camden,2004,207341,37066,25702,51267,33592,21265,17099,21350,3760,351847
73,camden,2005,211088,37679,26233,52426,34434,21540,17395,21381,3319,368345
74,camden,2006,211032,37761,25895,51773,34631,21988,17599,21385,4156,394819
75,camden,2007,211520,37835,26020,51005,34894,22123,17996,21647,3630,466485
76,camden,2008,210273,38012,25006,50051,34725,22433,18085,21961,2052,501223
77,camden,2009,212924,38451,25192,49778,35433,23190,18271,22609,2186,454627
78,camden,2010,214725,38638,26305,49278,35165,23685,18314,23340,2733,513221
79,camden,2011,220087,39003,28311,50555,35139,24315,18595,24169,2620,554393
80,camden,2012,224962,40742,29060,50708,35371,25308,18569,25204,2413,586166
81,camden,2013,229719,42385,28519,51353,36112,26236,18924,26190,2930,667447
82,camden,2014,234846,44144,28412,51571,36748,27310,19422,27239,2780,756486
83,camden,2015,241059,45988,28204,52510,37781,28311,20081,28184,2487,787440
84,city of london,2002,7280,678,573,1912,1200,1110,849,958,392,269632
85,city of london,2003,7115,645,524,1859,1186,1071,887,943,480,270811
86,city of london,2004,7118,646,503,1807,1265,1044,909,944,377,301032
87,city of london,2005,7131,624,476,1808,1309,1009,959,946,303,311783
88,city of london,2006,7254,636,472,1842,1366,995,985,958,294,338518
89,city of london,2007,7607,658,576,1874,1494,1042,997,966,270,433838
90,city of london,2008,7429,629,519,1803,1426,1049,993,1010,140,427296
91,city of london,2009,7472,626,533,1869,1378,1071,955,1040,157,383417
92,city of london,2010,7338,678,505,1775,1322,1058,961,1039,236,453662
93,city of london,2011,7412,684,635,1789,1228,1073,952,1051,255,463930
94,city of london,2012,7604,793,600,1775,1285,1102,943,1106,197,525327
95,city of london,2013,7648,829,535,1787,1196,1155,944,1202,433,570008
96,city of london,2014,8072,955,536,1838,1227,1234,1006,1276,323,709385
97,city of london,2015,8760,1090,686,2005,1251,1323,1045,1360,308,760253
98,croydon,2002,335415,81127,27673,54084,56588,41337,31776,42830,8504,157022
99,croydon,2003,335919,81416,27855,52909,57247,41395,32393,42704,7546,185784
100,croydon,2004,337134,81947,28471,52084,57379,41971,32747,42535,7586,198588
101,croydon,2005,339052,82254,29024,51793,57427,43020,32974,42560,6247,204407
102,croydon,2006,340449,82461,29353,51894,56963,44042,33461,42275,8045,212111
103,croydon,2007,344029,83537,30106,52265,56619,45312,33770,42420,8180,233665
104,croydon,2008,349308,84722,30911,53788,55848,47063,33995,42981,3832,235998
105,croydon,2009,352763,85384,31318,54441,54954,48681,34504,43481,3347,203706
106,croydon,2010,357951,87048,31948,55049,54276,50324,35266,44040,3625,218639
107,croydon,2011,364815,89216,32345,56726,53725,51989,36158,44656,3493,215427
108,croydon,2012,368886,90729,31692,57177,53760,53134,36158,46236,3617,221817
109,croydon,2013,372752,91628,31594,57349,53901,54081,36723,47476,4852,234439
110,croydon,2014,376040,92350,30975,57225,54318,54809,37787,48576,6010,274827
111,croydon,2015,379031,93194,29979,57130,55286,54943,39164,49335,5766,307064
112,ealing,2002,309242,67391,29988,64650,50740,36072,25701,34700,6228,198426
113,ealing,2003,308108,67731,29320,63062,51172,36197,25989,34637,5749,221689
114,ealing,2004,310073,68156,30025,63029,51580,36505,26288,34490,6008,241038
115,ealing,2005,312774,68712,30108,63763,52027,37046,26624,34494,4881,244871
116,ealing,2006,315329,69291,30426,64332,52088,37659,27078,34455,6482,260206
117,ealing,2007,318671,70380,30953,64480,52468,38084,27719,34587,6158,293783
118,ealing,2008,324022,71912,31270,65983,52975,38737,28269,34876,2720,295324
119,ealing,2009,329966,73585,31385,66875,53665,39949,29150,35357,2368,264041
120,ealing,2010,334073,75196,31269,66961,53799,40989,30027,35832,3169,292825
121,ealing,2011,339314,76787,31285,67720,53992,42127,30947,36456,3011,302306
122,ealing,2012,340671,78096,29839,66741,54241,43020,31285,37449,3237,318697
123,ealing,2013,342494,79516,28472,65659,54681,43913,31791,38462,3848,338088
124,ealing,2014,342118,80256,27326,62801,55171,44776,32267,39521,3502,400039
125,ealing,2015,343059,81270,26471,60796,55388,45662,33068,40404,3669,438310
126,enfield,2002,280745,66084,25622,45263,46562,33142,26393,37679,7237,159790
127,enfield,2003,281835,66840,25942,44102,47335,33344,26723,37549,6321,190572
128,enfield,2004,282217,67616,25884,43146,47411,33831,26931,37398,6212,205848
129,enfield,2005,284779,68929,25963,43109,47531,34698,27176,37373,5058,212548
130,enfield,2006,287429,70363,26172,43393,47252,35663,27477,37109,6312,219541
131,enfield,2007,291534,72073,26790,44014,47185,36666,27696,37110,6416,243911
132,enfield,2008,297443,73976,27659,45312,47239,38081,27740,37436,3078,245839
133,enfield,2009,301971,75564,28244,46074,46846,39385,27984,37874,2538,221993
134,enfield,2010,307648,77283,29003,47643,46285,40805,28337,38292,2888,242127
135,enfield,2011,313935,78886,29593,49391,45953,42273,28776,39063,2717,241991
136,enfield,2012,317287,80121,29070,49961,45674,43406,28942,40113,2801,247667
137,enfield,2013,320524,80924,28434,50668,45717,44321,29567,40893,3416,261604
138,enfield,2014,324574,81999,28157,51040,46293,45098,30391,41596,3904,294515
139,enfield,2015,328433,83164,27836,51557,46745,45736,31350,42045,3771,335503
140,greenwich,2002,221476,52769,22161,40542,35530,24264,18671,27539,5395,147421
141,greenwich,2003,224303,53521,22897,40751,36392,24421,19127,27194,4942,171042
142,greenwich,2004,227190,53949,23784,41261,37064,24938,19317,26877,5639,186893
143,greenwich,2005,230494,54952,23880,42353,37719,25699,19397,26494,4698,196343
144,greenwich,2006,233990,55865,24442,43307,37984,26716,19498,26178,5257,207167
145,greenwich,2007,236535,56783,24738,43774,38390,27296,19804,25750,5181,228861
146,greenwich,2008,239748,57716,24861,44486,38866,28171,20051,25597,2387,231136
147,greenwich,2009,243672,59084,24850,45124,39265,29220,20412,25717,1937,210322
148,greenwich,2010,249171,60282,25833,46033,39957,30422,20765,25879,2233,229069
149,greenwich,2011,255483,61458,26861,47462,40630,31432,21409,26231,2560,229295
150,greenwich,2012,260068,62518,26964,48431,41379,32495,21247,27034,2764,236980
151,greenwich,2013,264008,63690,26034,49251,42420,33484,21506,27623,3534,253399
152,greenwich,2014,268678,64676,25263,50159,43691,34372,22338,28179,4625,298351
153,greenwich,2015,274803,66043,25443,50683,45491,35229,23247,28667,4301,331848
154,hackney,2002,210961,53964,22129,45285,36179,20805,13826,18764,3656,180269
155,hackney,2003,212403,54499,22631,45116,36838,20991,13897,18420,2764,201071
156,hackney,2004,213582,54689,23528,45105,36848,21347,13927,18143,3322,217677
157,hackney,2005,216512,54832,24522,46322,36853,21952,14073,17940,2544,227937
158,hackney,2006,220193,54735,25629,48257,37046,22610,14238,17661,3389,253254
159,hackney,2007,224481,54937,26529,50276,37422,23411,14523,17380,3555,290396
160,hackney,2008,231041,54991,27646,53960,37935,24379,14857,17266,1691,311770
161,hackney,2009,236621,55339,27578,57566,38384,25138,15214,17392,1852,282240
162,hackney,2010,241739,55999,27209,60831,38542,26038,15739,17380,2187,300491
163,hackney,2011,247183,56462,26519,64772,38905,26825,16250,17426,2217,308698
164,hackney,2012,252117,57778,24832,67524,39765,27766,16555,17871,2618,325492
165,hackney,2013,257381,58951,23502,70067,40944,28545,16985,18320,2720,372669
166,hackney,2014,263150,59983,22605,71765,42949,29214,17759,18875,2918,456388
167,hackney,2015,269009,61233,22224,72346,45327,29993,18554,19332,2922,506799
168,hammersmith and fulham,2002,171989,30923,18181,48244,27690,16870,12879,17202,3945,302459
169,hammersmith and fulham,2003,171510,31363,18203,46853,28251,16856,12952,17032,3332,318805
170,hammersmith and fulham,2004,172083,31295,18884,46267,28762,16996,13011,16868,3692,343381
171,hammersmith and fulham,2005,173292,31299,19407,46284,29302,17262,12967,16771,3189,362575
172,hammersmith and fulham,2006,174675,31089,20052,46669,29424,17705,12993,16743,4105,397586
173,hammersmith and fulham,2007,176472,31312,20863,46483,30054,18004,13259,16497,3776,474140
174,hammersmith and fulham,2008,177088,31624,21003,46421,29895,18482,13320,16343,1626,474947
175,hammersmith and fulham,2009,180116,31974,21100,47283,30764,19074,13549,16372,1918,435456
176,hammersmith and fulham,2010,180842,32257,20614,47433,30825,19606,13705,16402,2489,502256
177,hammersmith and fulham,2011,182445,32563,20239,48143,30869,20324,13783,16524,2691,518573
178,hammersmith and fulham,2012,179850,32870,17996,46851,30460,21050,13636,16987,2596,567082
179,hammersmith and fulham,2013,178685,33328,16492,45543,30378,21605,13842,17497,3013,631529
180,hammersmith and fulham,2014,178365,33777,16085,43798,30317,22310,14090,17988,2870,721099
181,hammersmith and fulham,2015,179410,34248,16387,42113,30729,22871,14597,18465,2448,760833
182,haringey,2002,224474,50777,23894,49875,39262,23020,16522,21124,4532,195801
183,haringey,2003,225027,51485,23381,49033,40107,23356,16679,20986,3827,220320
184,haringey,2004,226472,52221,23296,48857,40508,23858,16836,20896,4365,236265
185,haringey,2005,229271,52935,23305,49452,40719,24742,17038,21080,3471,245820
186,haringey,2006,233174,53679,23647,50280,41465,25646,17374,21083,4620,263920
187,haringey,2007,236793,54524,24109,50960,41935,26493,17740,21032,4278,305509
188,haringey,2008,244459,55907,24934,54047,42325,27769,18216,21261,1986,303396
189,haringey,2009,249805,56750,24641,55670,43075,29230,18743,21696,1838,276214
190,haringey,2010,252742,57283,24458,56152,42979,30342,19389,22139,2319,314479
191,haringey,2011,255540,57566,24277,56792,43040,31380,19991,22494,2274,326468
192,haringey,2012,258912,58202,23890,57049,43707,32529,20401,23134,2443,339685
193,haringey,2013,263386,58961,23097,57887,45022,33731,20882,23806,2665,372233
194,haringey,2014,267541,59769,23095,57553,46061,34938,21476,24649,2926,435807
195,haringey,2015,272864,60785,23433,57826,47391,35651,22475,25303,2765,480636
196,harrow,2002,212336,48299,18312,34007,33491,27075,20987,30165,4481,202680
197,harrow,2003,213728,48890,18412,33651,33766,27188,21472,30349,4183,232598
198,harrow,2004,216267,49800,19087,33754,33868,27486,21744,30528,4001,252291
199,harrow,2005,221109,50765,19857,34977,34233,28203,22287,30787,3283,255332
200,harrow,2006,223632,51006,20464,35372,34232,28920,22750,30888,4295,265448
201,harrow,2007,226355,51658,20951,35671,34326,29499,23201,31049,3984,293492
202,harrow,2008,229567,52435,21057,36485,34112,30227,23656,31595,2152,294650
203,harrow,2009,233495,53221,21166,37505,34078,31022,24132,32371,1932,263036
204,harrow,2010,237451,54339,21219,38508,34179,31359,24780,33067,2245,292166
205,harrow,2011,240499,54762,21586,39246,34058,31638,25323,33886,2156,296477
206,harrow,2012,242377,55198,21223,39487,34358,31923,25450,34738,2264,304904
207,harrow,2013,243373,55743,19804,39735,34739,32108,25725,35519,2574,319397
208,harrow,2014,246011,56642,19041,39890,35382,32359,26344,36353,2803,360795
209,harrow,2015,247130,57013,18705,39242,36006,32326,26888,36950,3107,408604
210,havering,2002,225054,50108,17056,28314,34175,29975,25483,39943,4881,149066
211,havering,2003,225248,50040,17332,27734,34191,29694,26271,39986,4505,179117
212,havering,2004,225769,50161,17424,27313,34224,29853,26779,40015,4829,195992
213,havering,2005,226990,50522,17627,27219,34087,30216,27196,40123,3953,204047
214,havering,2006,228198,50378,18040,27097,33972,30912,27748,40051,5076,211316
215,havering,2007,229789,50561,18581,27217,33840,31471,27919,40200,5392,233534
216,havering,2008,231793,50783,19253,27628,33302,32213,27972,40642,2599,231473
217,havering,2009,234127,50945,20005,28182,32751,32928,28130,41186,2391,205962
218,havering,2010,236234,51089,20449,28723,32245,33729,28204,41795,2722,220413
219,havering,2011,237927,50970,20900,29265,31653,34370,28212,42557,2587,219558
220,havering,2012,239733,51396,21051,29909,31120,34653,27648,43956,2810,221601
221,havering,2013,242080,52120,21048,31109,30533,34830,27625,44815,3574,226428
222,havering,2014,245974,53258,21079,32503,30722,34935,27895,45582,4246,259267
223,havering,2015,249085,54203,20776,33704,31345,34922,28276,45859,4188,291844
224,hillingdon,2002,247063,57441,24179,38755,39622,29918,23256,33892,5718,172147
225,hillingdon,2003,248054,57641,25074,37733,40094,29816,23710,33986,5518,202707
226,hillingdon,2004,248691,57841,25520,37295,40202,30007,24036,33790,5558,215696
227,hillingdon,2005,251430,58538,25870,37553,40644,30609,24386,33830,4481,222899
228,hillingdon,2006,254387,59364,26352,38140,40549,31511,24742,33729,5437,231405
229,hillingdon,2007,256981,60076,26845,38554,40358,32549,24844,33755,5430,253838
230,hillingdon,2008,261051,61317,27174,39680,40193,33527,25111,34049,3047,255580
231,hillingdon,2009,265665,62610,27825,40663,40120,34563,25460,34424,2572,228275
232,hillingdon,2010,269465,63558,28609,41387,39768,35371,25880,34892,3073,247991
233,hillingdon,2011,275499,64443,30306,42891,39860,36211,26377,35411,3361,251781
234,hillingdon,2012,281756,65966,30957,44364,40383,37061,26370,36655,3298,260476
