area,date,average_price,houses_sold
east midlands,1995-12-31,45680.583333333336,63894.0
east midlands,1996-12-31,46160.583333333336,76043.0
east midlands,1997-12-31,49253.25,85559.0
east midlands,1998-12-31,52216.75,83923.0
east midlands,1999-12-31,55833.75,95997.0
east midlands,2000-12-31,62237.333333333336,94835.0
east midlands,2001-12-31,70251.41666666667,105450.0
east midlands,2002-12-31,86420.25,113330.0
east midlands,2003-12-31,110143.91666666667,104241.0
east midlands,2004-12-31,130512.83333333333,104228.0
east midlands,2005-12-31,140046.08333333334,86521.0
east midlands,2006-12-31,146546.58333333334,107612.0
east midlands,2007-12-31,155826.58333333334,103208.0
east midlands,2008-12-31,147008.08333333334,53760.0
east midlands,2009-12-31,134118.75,51683.0
east midlands,2010-12-31,140539.91666666666,53696.0
east midlands,2011-12-31,138003.91666666666,53668.0
east midlands,2012-12-31,138630.58333333334,54487.0
east midlands,2013-12-31,141618.0,65842.0
east midlands,2014-12-31,151189.0,80522.0
east midlands,2015-12-31,159569.16666666666,80566.0
east midlands,2016-12-31,169999.83333333334,83631.0
east midlands,2017-12-31,180237.33333333334,82255.0
east midlands,2018-12-31,189690.0,80621.0
east midlands,2019-12-31,193051.0909090909,68152.0
east of england,1995-12-31,56306.583333333336,92291.0
east of england,1996-12-31,56805.166666666664,113692.0
east of england,1997-12-31,62930.916666666664,130067.0
east of england,1998-12-31,69729.58333333333,123633.0
east of england,1999-12-31,76768.33333333333,143569.0
east of england,2000-12-31,91354.41666666667,128113.0
east of england,2001-12-31,104083.75,143057.0
east of england,2002-12-31,127153.41666666667,148724.0
east of england,2003-12-31,151243.16666666666,134363.0
east of england,2004-12-31,169343.83333333334,139284.0
east of england,2005-12-31,177149.5,117442.0
east of england,2006-12-31,186903.83333333334,147930.0
east of england,2007-12-31,203776.16666666666,141659.0
east of england,2008-12-31,195414.75,70640.0
east of england,2009-12-31,177385.91666666666,75599.0
east of england,2010-12-31,191374.0,79373.0
east of england,2011-12-31,190148.83333333334,79953.0
east of england,2012-12-31,193627.75,80403.0
east of england,2013-12-31,199391.25,95979.0
east of england,2014-12-31,218441.0,114569.0
east of england,2015-12-31,239757.83333333334,111639.0
east of england,2016-12-31,266554.6666666667,109404.0
east of england,2017-12-31,283412.75,104567.0
east of england,2018-12-31,290556.5,99586.0
east of england,2019-12-31,289998.9090909091,84264.0
london,1995-12-31,74721.33333333333,106850.0
london,1996-12-31,78166.25,132953.0
london,1997-12-31,89944.0,154343.0
london,1998-12-31,102110.58333333333,145942.0
london,1999-12-31,115686.33333333333,169076.0
london,2000-12-31,142006.58333333334,149269.0
london,2001-12-31,159225.58333333334,162744.0
london,2002-12-31,187395.75,173993.0
london,2003-12-31,211100.83333333334,153784.0
london,2004-12-31,228614.08333333334,163797.0
london,2005-12-31,235329.33333333334,136836.0
london,2006-12-31,251281.16666666666,171450.0
london,2007-12-31,287114.0,165571.0
london,2008-12-31,282958.8333333333,80921.0
london,2009-12-31,257853.91666666666,75231.0
london,2010-12-31,284543.1666666667,91933.0
london,2011-12-31,290551.1666666667,90041.0
london,2012-12-31,303927.3333333333,93859.0
london,2013-12-31,329167.75,111973.0
london,2014-12-31,386124.3333333333,121949.0
london,2015-12-31,425134.0833333333,116572.0
london,2016-12-31,467502.9166666667,104805.0
london,2017-12-31,480247.25,96040.0
london,2018-12-31,477854.75,89797.0
london,2019-12-31,470882.8181818182,74649.0
north east,1995-12-31,42287.666666666664,32359.0
north east,1996-12-31,42326.333333333336,37408.0
north east,1997-12-31,43909.083333333336,40730.0
north east,1998-12-31,45383.166666666664,41352.0
north east,1999-12-31,46999.5,43923.0
north east,2000-12-31,49310.166666666664,46504.0
north east,2001-12-31,52685.75,52482.0
north east,2002-12-31,61863.0,58884.0
north east,2003-12-31,79733.41666666667,60741.0
north east,2004-12-31,104016.75,58711.0
north east,2005-12-31,118278.75,49104.0
north east,2006-12-31,128207.08333333333,59632.0
north east,2007-12-31,136306.33333333334,60742.0
north east,2008-12-31,130992.33333333333,29742.0
north east,2009-12-31,120955.16666666667,23954.0
north east,2010-12-31,122620.58333333333,25421.0
north east,2011-12-31,117427.16666666667,26637.0
north east,2012-12-31,116344.33333333333,26030.0
north east,2013-12-31,115924.91666666667,30555.0
north east,2014-12-31,118569.25,37425.0
north east,2015-12-31,121315.5,37854.0
north east,2016-12-31,124429.66666666667,38459.0
north east,2017-12-31,126595.83333333333,40518.0
north east,2018-12-31,128347.25,39717.0
north east,2019-12-31,128624.09090909091,34791.0
north west,1995-12-31,43927.833333333336,92502.0
north west,1996-12-31,43928.25,105566.0
north west,1997-12-31,45874.916666666664,118108.0
north west,1998-12-31,47669.583333333336,117472.0
north west,1999-12-31,50144.833333333336,129797.0
north west,2000-12-31,53849.916666666664,133589.0
north west,2001-12-31,59045.666666666664,144511.0
north west,2002-12-31,68728.66666666667,166330.0
north west,2003-12-31,85363.16666666667,167183.0
north west,2004-12-31,110358.83333333333,164810.0
north west,2005-12-31,126355.08333333333,131470.0
north west,2006-12-31,137641.25,161033.0
north west,2007-12-31,148504.91666666666,157670.0
north west,2008-12-31,142097.75,78346.0
north west,2009-12-31,130121.0,66396.0
north west,2010-12-31,133198.0,70127.0
north west,2011-12-31,129207.83333333333,70860.0
north west,2012-12-31,128281.83333333333,69479.0
north west,2013-12-31,128915.25,85701.0
north west,2014-12-31,134890.58333333334,106022.0
north west,2015-12-31,139918.66666666666,109899.0
north west,2016-12-31,147364.41666666666,114828.0
north west,2017-12-31,154756.83333333334,117838.0
north west,2018-12-31,160332.66666666666,115748.0
north west,2019-12-31,164352.27272727274,99995.0
south east,1995-12-31,64478.666666666664,140763.0
south east,1996-12-31,66107.83333333333,175484.0
south east,1997-12-31,74944.83333333333,199713.0
south east,1998-12-31,84477.41666666667,186480.0
south east,1999-12-31,94200.75,213873.0
south east,2000-12-31,113859.83333333333,187357.0
south east,2001-12-31,127928.91666666667,208740.0
south east,2002-12-31,151275.0,222779.0
south east,2003-12-31,175174.33333333334,196366.0
south east,2004-12-31,192007.41666666666,206226.0
south east,2005-12-31,198984.41666666666,173615.0
south east,2006-12-31,209939.58333333334,222571.0
south east,2007-12-31,231168.16666666666,212883.0
south east,2008-12-31,222310.75,108316.0
south east,2009-12-31,201640.16666666666,116116.0
south east,2010-12-31,220477.08333333334,120594.0
south east,2011-12-31,218880.41666666666,119382.0
south east,2012-12-31,223732.91666666666,122349.0
south east,2013-12-31,231372.5,145317.0
south east,2014-12-31,254201.41666666666,169830.0
south east,2015-12-31,276942.0,166244.0
south east,2016-12-31,303754.5,159512.0
south east,2017-12-31,317535.0,153884.0
south east,2018-12-31,323412.6666666667,145323.0
south east,2019-12-31,321653.36363636365,121399.0
south west,1995-12-31,54214.166666666664,81821.0
south west,1996-12-31,55374.166666666664,105077.0
south west,1997-12-31,60990.0,121273.0
south west,1998-12-31,67023.0,116230.0
south west,1999-12-31,74706.66666666667,134494.0
south west,2000-12-31,88832.08333333333,119910.0
south west,2001-12-31,100811.25,132288.0
south west,2002-12-31,124025.08333333333,137257.0
south west,2003-12-31,149060.41666666666,123609.0
south west,2004-12-31,170780.0,123958.0
south west,2005-12-31,178959.5,106930.0
south west,2006-12-31,189781.83333333334,138978.0
south west,2007-12-31,206747.75,128768.0
south west,2008-12-31,195377.75,66979.0
south west,2009-12-31,178826.58333333334,74733.0
south west,2010-12-31,192042.25,75745.0
south west,2011-12-31,189021.25,74001.0
south west,2012-12-31,190763.41666666666,75650.0
south west,2013-12-31,194330.41666666666,89891.0
south west,2014-12-31,206628.75,107001.0
south west,2015-12-31,218993.16666666666,106745.0
south west,2016-12-31,233252.58333333334,108101.0
south west,2017-12-31,245218.25,106189.0
south west,2018-12-31,254385.5,100663.0
south west,2019-12-31,255840.72727272726,83370.0
west midlands,1995-12-31,49428.583333333336,70781.0
west midlands,1996-12-31,50047.25,84102.0
west midlands,1997-12-31,53633.916666666664,92731.0
west midlands,1998-12-31,56912.833333333336,89345.0
west midlands,1999-12-31,60953.5,101797.0
west midlands,2000-12-31,67872.33333333333,99401.0
west midlands,2001-12-31,76175.75,107436.0
west midlands,2002-12-31,91305.41666666667,118958.0
west midlands,2003-12-31,113276.66666666667,110872.0
west midlands,2004-12-31,134898.41666666666,111828.0
west midlands,2005-12-31,145496.41666666666,94710.0
west midlands,2006-12-31,153478.16666666666,115869.0
west midlands,2007-12-31,162501.5,109447.0
west midlands,2008-12-31,155187.83333333334,57203.0
west midlands,2009-12-31,142189.91666666666,51812.0
west midlands,2010-12-31,149230.25,55072.0
west midlands,2011-12-31,145461.08333333334,55734.0
west midlands,2012-12-31,145992.0,56452.0
west midlands,2013-12-31,148837.75,67535.0
west midlands,2014-12-31,156994.5,82107.0
west midlands,2015-12-31,164532.25,83853.0
west midlands,2016-12-31,175240.33333333334,87049.0
west midlands,2017-12-31,185005.58333333334,87919.0
west midlands,2018-12-31,188453.16666666666,63525.0
west midlands,2019-12-31,198204.36363636365,73440.0
yorks and the humber,1995-12-31,44899.0,70366.0
yorks and the humber,1996-12-31,44820.583333333336,79911.0
yorks and the humber,1997-12-31,46323.75,88161.0
yorks and the humber,1998-12-31,47655.833333333336,86360.0
yorks and the humber,1999-12-31,49489.833333333336,96902.0
yorks and the humber,2000-12-31,53114.833333333336,99343.0
yorks and the humber,2001-12-31,57878.916666666664,111459.0
yorks and the humber,2002-12-31,69117.0,123402.0
yorks and the humber,2003-12-31,87623.41666666667,121996.0
yorks and the humber,2004-12-31,110994.58333333333,119469.0
yorks and the humber,2005-12-31,125858.58333333333,101204.0
yorks and the humber,2006-12-31,136883.33333333334,124005.0
yorks and the humber,2007-12-31,147437.58333333334,118234.0
yorks and the humber,2008-12-31,141310.5,61681.0
yorks and the humber,2009-12-31,129733.91666666667,53289.0
yorks and the humber,2010-12-31,134145.75,54541.0
yorks and the humber,2011-12-31,130429.16666666667,55051.0
yorks and the humber,2012-12-31,129553.08333333333,55827.0
yorks and the humber,2013-12-31,130219.91666666667,67274.0
yorks and the humber,2014-12-31,136412.0,81789.0
yorks and the humber,2015-12-31,141869.66666666666,81711.0
yorks and the humber,2016-12-31,149015.58333333334,83872.0
yorks and the humber,2017-12-31,154819.91666666666,87259.0
yorks and the humber,2018-12-31,159936.41666666666,85744.0
yorks and the humber,2019-12-31,163280.27272727274,74912.0
